Phase_Deg,Lockin_Output,Resistance_Ohm
361,0.0878E-3,1037.4617
362,0.0940E-3,1037.4627
363,0.0940E-3,1037.4633
364,0.0915E-3,1037.4642
365,0.0990E-3,1037.4646
366,0.0868E-3,1037.4653
367,0.0990E-3,1037.4656
368,0.0943E-3,1037.466
369,0.0938E-3,1037.4663
370,0.1000E-3,1037.4666
371,0.0955E-3,1037.4673
372,0.0938E-3,1037.4676
373,0.1018E-3,1037.4682
374,0.0953E-3,1037.4686
375,0.1015E-3,1037.469
376,0.0940E-3,1037.4691
377,0.0998E-3,1037.4697
378,0.0985E-3,1037.4695
379,0.0943E-3,1037.4698
380,0.0948E-3,1037.4696
381,0.0988E-3,1037.4697
382,0.1005E-3,1037.4705
383,0.1000E-3,1037.4705
384,0.1003E-3,1037.4705
385,0.1028E-3,1037.4707
386,0.0998E-3,1037.4713
387,0.0993E-3,1037.4711
388,0.0985E-3,1037.4708
389,0.0975E-3,1037.4713
390,0.0993E-3,1037.4713
391,0.1003E-3,1037.4712
392,0.0980E-3,1037.4707
393,0.0943E-3,1037.4703
394,0.0925E-3,1037.4708
395,0.0903E-3,1037.4706
396,0.0925E-3,1037.4705
397,0.0943E-3,1037.4695
398,0.0960E-3,1037.4697
399,0.0943E-3,1037.4695
