lockin,Temp
4.880E-6,92.68903558349507
4.920E-6,92.71718899761288
4.920E-6,92.74441766455163
4.880E-6,92.77195458055007
4.860E-6,92.79908049780227
4.880E-6,92.82620641505434
4.900E-6,92.85549007572433
4.920E-6,92.88780485214795
4.920E-6,92.92248287136238
4.880E-6,92.95808563775586
4.930E-6,92.99353427961944
4.920E-6,93.02877742211001
4.830E-6,93.06402056460058
4.900E-6,93.09885270834491
4.920E-6,93.13317110365631
4.880E-6,93.16738674928126
4.930E-6,93.20098589678685
4.870E-6,93.23391717132972
4.820E-6,93.26679707102937
4.860E-6,93.29895772292298
4.870E-6,93.33106699997347
4.860E-6,93.36245702921792
4.950E-6,93.39343605971612
4.930E-6,93.42405546631142
4.900E-6,93.45452074837681
4.900E-6,93.48462640653929
