Phase_Deg,Lockin_Output,Resistance_Ohm
383,0.1180E-3,1038.5827
384,0.1260E-3,1038.5861
385,0.1180E-3,1038.59
386,0.1070E-3,1038.5937
387,0.1200E-3,1038.597
388,0.1160E-3,1038.6008
389,0.1060E-3,1038.6039
390,0.1260E-3,1038.6073
391,0.1030E-3,1038.611
392,0.1200E-3,1038.614
393,0.1000E-3,1038.6175
394,0.1160E-3,1038.6209
395,0.0960E-3,1038.6241
396,0.1100E-3,1038.6274
397,0.1060E-3,1038.6306
398,0.0930E-3,1038.6333
399,0.1120E-3,1038.6365
